"","n_datapoints","forecast_point","sd","rho","Median eBMI Error","Mean eBMI Error"
"68","4","Mean + Most Recent","0.4","0.7","1.13","1.77"
"69","10","Mean + Most Recent","0.4","0.7","1.14","1.73"
"70","2","Mean + Most Recent","0.4","0.7","1.14","1.68"
"71","4","Most Recent","0.4","0.7","1.16","1.88"
"72","2","Most Recent","0.4","0.7","1.20","1.76"
"73","8","Max","0.4","0.9","1.25","1.84"
"74","6","Max","0.4","0.9","1.25","1.92"
"75","2","Max","0.4","0.7","1.29","2.00"
"76","10","Max","0.4","0.9","1.34","1.98"
"77","4","Max","0.4","0.7","1.56","2.34"
"78","6","Max","0.4","0.7","1.62","2.35"
"79","8","Max","0.4","0.7","1.82","2.56"
"80","10","Max","0.4","0.7","1.86","2.72"
"81","4","Population Median","0.2","0.7","1.96","3.35"
"82","8","Population Median","0.2","0.9","1.99","3.29"
"83","6","Population Median","0.2","0.9","2.01","3.29"
"84","8","Population Median","0.4","0.7","2.01","3.36"
"85","4","Population Median","0.2","0.9","2.02","3.17"
"86","10","Population Median","0.2","0.9","2.03","3.32"
"87","6","Population Median","0.2","0.7","2.05","3.44"
"88","10","Population Median","0.2","0.7","2.08","3.23"
"89","2","Population Median","0.2","0.9","2.09","3.30"
"90","4","Population Median","0.4","0.9","2.15","3.64"
"91","10","Population Median","0.4","0.9","2.15","3.65"
"92","2","Population Median","0.4","0.9","2.19","3.38"
"93","8","Population Median","0.2","0.7","2.20","3.50"
"94","8","Population Median","0.4","0.9","2.20","3.52"
"95","2","Population Median","0.2","0.7","2.22","3.63"
"96","4","Population Median","0.4","0.7","2.23","3.61"
"97","2","Population Median","0.4","0.7","2.24","3.59"
"98","6","Population Median","0.4","0.9","2.25","3.74"
"99","6","Population Median","0.4","0.7","2.26","3.62"
"100","10","Population Median","0.4","0.7","2.28","3.76"
